,X,Y,phi
0,296.214924,490.06182,0.0
1,296.214924,490.06182,0.0
2,296.214924,490.06182,0.0
3,296.214924,490.06182,0.0
4,296.214924,490.06182,0.0
5,296.214924,490.06182,0.0
6,296.214924,490.06182,0.0
7,296.214924,490.06182,0.0
8,296.214924,490.06182,0.0
9,296.214924,490.06182,0.0
10,296.214924,490.06182,0.0
11,296.214924,490.06182,0.0
12,296.214924,490.06182,0.0
13,296.214924,490.06182,0.0
14,296.214924,490.06182,0.0
15,296.214924,490.06182,0.0
16,296.214924,490.06182,0.0
17,296.214924,490.06182,0.0
18,296.214924,490.06182,0.0
19,296.214924,490.0616860608,0.0
20,296.214924,490.0612842432,0.0
21,296.214924,490.06048060800003,0.0
22,296.214924,490.05914121600006,0.0
23,296.214924,490.0569526377,0.0
24,296.214924,490.05408079290004,0.0
25,296.214924,490.0502630025,0.0
26,296.214924,490.0453653273,0.0
27,296.214924,490.0387818036,0.0
28,296.214924,490.030657881,0.0
29,296.214924,490.02151339140005,0.0
30,296.214924,490.00994511240003,0.0
31,296.214924,489.9963639195,0.0
32,296.214924,489.9806091576,0.0
33,296.214924,489.9637218312,0.0
34,296.214924,489.9446412504,0.0
35,296.214924,489.923233476,0.0
36,296.214924,489.89936456879997,0.0
37,296.214924,489.87290058959996,0.0
38,296.214924,489.8437075992,0.0
39,296.214924,489.80944859399995,0.0
40,296.214924,489.7741995636,0.0
41,296.214924,489.73319415599997,0.0
42,296.214924,489.6884747805,0.0
43,296.214924,489.6398807819999,0.0
44,296.214924,489.59057912279997,0.0
45,296.214924,489.53400962699993,0.0
46,296.214924,489.47309299319994,0.0
47,296.214924,489.41177499959997,0.0
48,296.214924,489.34196563349997,0.0
49,296.214924,489.2720017598999,0.0
50,296.214924,489.19764300629987,0.0
51,296.214924,489.11875543349987,0.0
52,296.214924,489.0296641199999,0.0
53,296.214924,488.9410084031999,0.0
54,296.214924,488.8474136783999,0.0
55,296.214924,488.74223295119987,0.0
56,296.214924,488.6380240679999,0.0
57,296.214924,488.5212539375999,0.0
58,296.214924,488.40586113119986,0.0
59,296.214924,488.2768962224999,0.0
60,296.214924,488.14141060679987,0.0
61,296.214924,487.99924362899986,0.0
62,296.214924,487.85023463399983,0.0
63,296.214924,487.69422296669984,0.0
64,296.214924,487.53104797199984,0.0
65,296.214924,487.37099219759983,0.0
66,296.214924,487.20432317519976,0.0
67,296.214924,487.0196109467998,0.0
68,296.214924,486.8152925831998,0.0
69,296.214924,486.6143680871998,0.0
70,296.214924,486.4180801895998,0.0
71,296.214924,486.2012552858998,0.0
72,296.214924,485.97600071459976,0.0
73,296.214924,485.74215582059975,0.0
74,296.214924,485.4995599487998,0.0
75,296.214924,485.2633487519998,0.0
76,296.214924,485.01911794559976,0.0
77,296.214924,484.75040867129974,0.0
78,296.214924,484.4723246993998,0.0
79,296.214924,484.18470537479976,0.0
80,296.214924,483.90542435399976,0.0
81,296.214924,483.6174289139998,0.0
82,296.214924,483.32058511559984,0.0
83,296.214924,482.99503895759983,0.0
84,296.214924,482.6795179655998,0.0
85,296.214924,482.3338154294998,0.0
86,296.214924,481.99904747909983,0.0
87,296.214924,481.6547447318998,0.0
88,296.214924,481.27799851619983,0.0
89,296.214924,480.9136027961998,0.0
90,296.214924,480.5392620905998,0.0
91,296.214924,480.1548424601998,0.0
92,296.214924,479.73485778659983,0.0
93,296.214924,479.30317364159987,0.0
94,296.214924,478.8596293700998,0.0
95,296.214924,478.43153614289986,0.0
96,296.214924,477.99266918129985,0.0
97,296.214924,477.51404984339985,0.0
98,296.214924,477.0229466591999,-0.0019148265791670838
99,296.21494026893816,476.5191989738812,-0.005842926726657538
100,296.21499117410815,476.00264613446717,-0.01188445519998993
101,296.2150973136567,475.47312749215826,-0.020141258232783343
102,296.21527056025303,474.96313780046904,-0.02996358081162498
103,296.21553423402275,474.4413949838149,-0.041924693718016215
104,296.21593571703994,473.8736144410155,-0.05715148221055699
105,296.2164624175659,473.3272034680467,-0.07380606285536828
