,X,Y,phi
0,234.48716800000003,460.03341000000006,-32.0
1,234.48716800000003,460.03341000000006,-32.0
2,234.48716800000003,460.03341000000006,-32.0
3,234.48716800000003,460.03341000000006,-32.0
4,234.48716800000003,460.03341000000006,-32.0
5,234.48716800000003,460.03341000000006,-32.0
6,234.48716800000003,460.03341000000006,-32.0
7,234.48716800000003,460.03341000000006,-32.0
8,234.48716800000003,460.03341000000006,-32.0
9,234.48716800000003,460.03341000000006,-32.0
10,234.48716800000003,460.03341000000006,-32.0
11,234.48716800000003,460.03341000000006,-32.0
12,234.48716800000003,460.03341000000006,-32.0
13,234.48716800000003,460.03341000000006,-32.0
14,234.48716800000003,460.03341000000006,-32.0
15,234.48716800000003,460.03341000000006,-32.0
16,234.48716800000003,460.03341000000006,-32.0
17,234.48716800000003,460.03341000000006,-32.0
18,234.48716800000003,460.03341000000006,-32.0
19,234.48716800000003,460.03341000000006,-32.0
20,234.48716800000003,460.03341000000006,-32.0
21,234.48716800000003,460.03341000000006,-32.0
22,234.48716800000003,460.03341000000006,-32.0
23,234.48716800000003,460.03341000000006,-32.0
24,234.48716800000003,460.03341000000006,-32.0
25,234.48716800000003,460.03341000000006,-32.0
26,234.48716800000003,460.03341000000006,-32.0
27,234.48716800000003,460.03341000000006,-32.0
28,234.48716800000003,460.03341000000006,-32.0
29,234.48716800000003,460.03341000000006,-32.0
30,234.48716800000003,460.03341000000006,-32.0
31,234.48716800000003,460.03341000000006,-32.0
32,234.48716800000003,460.03341000000006,-32.0
33,234.48716800000003,460.03341000000006,-32.0
34,234.48716800000003,460.03341000000006,-32.0
35,234.48716800000003,460.03341000000006,-32.0
36,234.48716800000003,460.03341000000006,-32.0
37,234.48725027038972,460.0332737567484,-32.0
38,234.48749708155884,460.0328650269933,-32.0
39,234.4879907038971,460.0320475674831,-32.0
40,234.48881340779417,460.03068513496623,-32.0
41,234.48994781147428,460.0288065143998,-32.0
42,234.49151089864236,460.02621797581116,-32.0
43,234.49357125865654,460.0228059323167,-32.0
44,234.4964040359852,460.01811473301706,-32.0
45,234.49996272851718,460.01222138737893,-32.0
46,234.50402370078436,460.00549624521443,-32.0
47,234.50886487699972,459.99747905224933,-32.0
48,234.5145548465213,459.9880562216002,-32.0
49,234.52164091759602,459.976321387617,-32.0
50,234.5293004198178,459.96363692735434,-32.0
51,234.53863882073117,459.94817213971237,-32.0
52,234.54925967183704,459.9305835602058,-32.0
53,234.56124524352512,459.91073494558293,-32.0
54,234.57467780618515,459.888490052592,-32.0
55,234.5896396302068,459.86371263798134,-32.0
56,234.60621298597977,459.83626645849927,-32.0
57,234.62448014389375,459.8060152708942,-32.0
58,234.64452337433852,459.7728228319143,-32.0
59,234.66642494770372,459.736552898308,-32.0
60,234.6902671343791,459.69706922682343,-32.0
61,234.71613220475433,459.6542355742091,-32.0
62,234.74410242921914,459.6079156972131,-32.0
63,234.77236070889336,459.56111878858366,-32.0
64,234.8046499864815,459.5076463765888,-32.0
65,234.83711472288164,459.453883397366,-32.0
66,234.87403306208583,459.3927450631712,-32.0
67,234.91099602791093,459.3315328254011,-32.0
